City,Transport_Mode,Brand,Weather_Condition,Time_of_Day,Emergency_Alert,Speed_Limit_kmh,Past_Accidents_in_Region,accident_probability
Kandy,Motorcycle,Honda,Clear,Afternoon (14:00-18:00),None,50,54,0.6893
Negombo,Car,Toyota,Heavy Rain,Evening (18:00-22:00),Accident Nearby,50,32,0.6506
Colombo,Motorcycle,Yamaha,Overcast,Morning (06:00-10:00),None,50,99,0.9364
Trincomalee,Car,Suzuki,Clear,Morning (06:00-10:00),None,60,13,0.3907
Kandy,Car,Mitsubishi,Clear,Evening (18:00-22:00),None,70,60,0.7332
Anuradhapura,Car,Mitsubishi,Heavy Rain,Morning (06:00-10:00),None,60,10,0.4012
Trincomalee,Car,Mitsubishi,Windy,Afternoon (14:00-18:00),Flood Alert,30,15,0.3965
Batticaloa,Bus,Ashok Leyland,Clear,Evening (18:00-22:00),None,70,10,0.3451
Colombo,Car,Hyundai,Clear,Afternoon (14:00-18:00),Police Checkpoint,90,94,0.912
Kurunegala,Bus,Isuzu,Overcast,Early Morning (00:00-06:00),None,50,32,0.4892
Trincomalee,Bus,Isuzu,Light Rain,Evening (18:00-22:00),Road Work,30,16,0.3468
Colombo,Bus,Ashok Leyland,Light Rain,Morning (06:00-10:00),None,80,120,0.9696
Colombo,Van,Isuzu,Overcast,Night (22:00-00:00),None,70,132,0.974
Batticaloa,Car,Mitsubishi,Heavy Rain,Morning (06:00-10:00),None,60,11,0.4269
Colombo,Bus,Ashok Leyland,Clear,Evening (18:00-22:00),None,50,117,0.932
Trincomalee,Truck,Hino,Windy,Morning (06:00-10:00),Road Work,70,11,0.4906
Matara,Motorcycle,Yamaha,Light Rain,Midday (10:00-14:00),None,70,19,0.5521
Colombo,Three-Wheeler,Bajaj,Storm,Afternoon (14:00-18:00),Accident Nearby,70,96,0.9651
Galle,Bus,Ashok Leyland,Overcast,Afternoon (14:00-18:00),Flood Alert,70,25,0.6227
Negombo,Motorcycle,Bajaj,Heavy Rain,Afternoon (14:00-18:00),None,70,32,0.7461
Galle,Bus,Ashok Leyland,Fog,Midday (10:00-14:00),Accident Nearby,90,18,0.7212
Galle,Three-Wheeler,Bajaj,Light Rain,Evening (18:00-22:00),None,40,40,0.5989
Negombo,Motorcycle,Bajaj,Light Rain,Afternoon (14:00-18:00),None,60,18,0.5176
Anuradhapura,Car,Toyota,Clear,Midday (10:00-14:00),Accident Nearby,40,7,0.2927
Galle,Motorcycle,Yamaha,Clear,Midday (10:00-14:00),None,50,33,0.5011
Colombo,Motorcycle,Suzuki,Overcast,Afternoon (14:00-18:00),None,30,119,0.939
Negombo,Car,Hyundai,Fog,Early Morning (00:00-06:00),None,80,32,0.7067
Kurunegala,Car,Nissan,Overcast,Morning (06:00-10:00),None,40,29,0.3943
Kandy,Car,Toyota,Clear,Morning (06:00-10:00),None,80,44,0.6307
Galle,Van,Isuzu,Overcast,Morning (06:00-10:00),None,50,18,0.3432
Trincomalee,Motorcycle,Suzuki,Heavy Rain,Midday (10:00-14:00),None,80,12,0.5743
Batticaloa,Truck,Isuzu,Clear,Afternoon (14:00-18:00),None,60,7,0.3116
Colombo,Motorcycle,Honda,Clear,Afternoon (14:00-18:00),None,60,124,0.9701
Kandy,Motorcycle,Suzuki,Clear,Night (22:00-00:00),None,100,43,0.8019
Colombo,Three-Wheeler,Bajaj,Windy,Afternoon (14:00-18:00),None,50,79,0.8397
Kandy,Car,Suzuki,Light Rain,Morning (06:00-10:00),None,50,40,0.5491
Colombo,Motorcycle,Suzuki,Clear,Night (22:00-00:00),None,50,110,0.9389
Negombo,Van,Isuzu,Overcast,Evening (18:00-22:00),None,80,22,0.4824
Negombo,Car,Toyota,Clear,Morning (06:00-10:00),None,40,20,0.3014
Matara,Car,Mitsubishi,Light Rain,Midday (10:00-14:00),Accident Nearby,90,19,0.6501
Jaffna,Bus,Toyota,Clear,Evening (18:00-22:00),None,70,19,0.405
Kandy,Motorcycle,Suzuki,Heavy Rain,Afternoon (14:00-18:00),None,50,38,0.6858
Colombo,Bus,Toyota,Windy,Morning (06:00-10:00),Flood Alert,70,88,0.9171
Galle,Motorcycle,Bajaj,Overcast,Midday (10:00-14:00),None,70,26,0.6139
Jaffna,Bus,Ashok Leyland,Heavy Rain,Morning (06:00-10:00),Flood Alert,70,8,0.5666
Kurunegala,Bus,Isuzu,Clear,Morning (06:00-10:00),None,60,12,0.2779
Trincomalee,Motorcycle,Suzuki,Light Rain,Morning (06:00-10:00),None,50,9,0.4205
Anuradhapura,Bicycle,Local,Overcast,Midday (10:00-14:00),None,40,12,0.2242
Anuradhapura,Three-Wheeler,Bajaj,Overcast,Evening (18:00-22:00),None,50,15,0.3718
Colombo,Bus,Isuzu,Fog,Afternoon (14:00-18:00),None,60,136,0.9826
Matara,Car,Hyundai,Clear,Midday (10:00-14:00),None,70,22,0.4352
Anuradhapura,Van,Toyota,Light Rain,Midday (10:00-14:00),None,30,13,0.2431
Galle,Bus,Toyota,Clear,Morning (06:00-10:00),None,40,24,0.3443
Kurunegala,Car,Mitsubishi,Windy,Morning (06:00-10:00),None,50,15,0.3296
Colombo,Three-Wheeler,Bajaj,Fog,Night (22:00-00:00),None,40,99,0.9244
Galle,Car,Mitsubishi,Overcast,Afternoon (14:00-18:00),None,80,22,0.484
Negombo,Bus,Ashok Leyland,Heavy Rain,Morning (06:00-10:00),None,40,30,0.4352
Kandy,Three-Wheeler,TVS,Overcast,Morning (06:00-10:00),None,80,34,0.6347
Batticaloa,Motorcycle,Yamaha,Heavy Rain,Midday (10:00-14:00),None,50,13,0.4694
Anuradhapura,Car,Nissan,Clear,Night (22:00-00:00),None,50,22,0.2999
Batticaloa,Motorcycle,Yamaha,Heavy Rain,Morning (06:00-10:00),Accident Nearby,60,10,0.5717
Galle,Car,Mitsubishi,Clear,Afternoon (14:00-18:00),Accident Nearby,80,28,0.6375
Anuradhapura,Car,Honda,Clear,Afternoon (14:00-18:00),None,70,17,0.3574
Kandy,Motorcycle,Yamaha,Clear,Evening (18:00-22:00),None,30,39,0.5445
Kandy,Car,Mitsubishi,Fog,Morning (06:00-10:00),None,80,47,0.7751
Anuradhapura,Car,Suzuki,Clear,Afternoon (14:00-18:00),None,50,14,0.2386
Colombo,Three-Wheeler,Bajaj,Clear,Evening (18:00-22:00),None,80,102,0.929
Jaffna,Car,Honda,Clear,Evening (18:00-22:00),None,70,12,0.3702
Jaffna,Car,Hyundai,Fog,Evening (18:00-22:00),None,90,17,0.6089
Batticaloa,Car,Hyundai,Heavy Rain,Midday (10:00-14:00),None,60,13,0.415
Negombo,Motorcycle,Yamaha,Clear,Afternoon (14:00-18:00),Flood Alert,30,40,0.6565
Trincomalee,Bus,Toyota,Clear,Night (22:00-00:00),None,70,17,0.3891
Colombo,Car,Nissan,Fog,Evening (18:00-22:00),None,50,153,0.989
Colombo,Car,Mitsubishi,Clear,Midday (10:00-14:00),None,70,80,0.8565
Kandy,Car,Mitsubishi,Clear,Morning (06:00-10:00),None,60,55,0.6353
Negombo,Motorcycle,Yamaha,Light Rain,Evening (18:00-22:00),Traffic Jam,50,29,0.5526
Colombo,Bus,Toyota,Clear,Evening (18:00-22:00),None,50,154,0.9762
Kandy,Motorcycle,Bajaj,Light Rain,Afternoon (14:00-18:00),None,60,34,0.6551
Matara,Bus,Toyota,Light Rain,Afternoon (14:00-18:00),None,50,12,0.2956
Kurunegala,Three-Wheeler,Bajaj,Windy,Morning (06:00-10:00),None,70,19,0.4505
Galle,Motorcycle,Bajaj,Clear,Afternoon (14:00-18:00),None,60,9,0.3867
Kurunegala,Motorcycle,Yamaha,Fog,Afternoon (14:00-18:00),None,60,19,0.6128
Negombo,Car,Hyundai,Light Rain,Evening (18:00-22:00),Accident Nearby,40,20,0.4377
Galle,Motorcycle,Yamaha,Overcast,Night (22:00-00:00),Traffic Jam,90,26,0.6646
Colombo,Three-Wheeler,TVS,Clear,Afternoon (14:00-18:00),Accident Nearby,90,108,0.9693
Anuradhapura,Bus,Ashok Leyland,Clear,Morning (06:00-10:00),Police Checkpoint,90,24,0.4767
Galle,Motorcycle,Suzuki,Clear,Midday (10:00-14:00),None,60,32,0.5938
Colombo,Bus,Ashok Leyland,Overcast,Morning (06:00-10:00),Accident Nearby,60,85,0.9024
Galle,Car,Mitsubishi,Light Rain,Morning (06:00-10:00),None,70,18,0.3943
Batticaloa,Bus,Ashok Leyland,Windy,Morning (06:00-10:00),None,30,13,0.2204
Kurunegala,Car,Nissan,Clear,Evening (18:00-22:00),None,40,13,0.2075
Trincomalee,Car,Mitsubishi,Clear,Midday (10:00-14:00),None,80,21,0.4297
Anuradhapura,Bus,Ashok Leyland,Clear,Midday (10:00-14:00),None,50,20,0.318
Trincomalee,Car,Suzuki,Overcast,Midday (10:00-14:00),None,60,10,0.2684
Galle,Motorcycle,Yamaha,Windy,Afternoon (14:00-18:00),None,70,12,0.46
Colombo,Three-Wheeler,Bajaj,Clear,Afternoon (14:00-18:00),None,40,133,0.95
Trincomalee,Three-Wheeler,TVS,Clear,Morning (06:00-10:00),Police Checkpoint,50,11,0.2887
Batticaloa,Car,Toyota,Overcast,Night (22:00-00:00),None,80,16,0.4316
Trincomalee,Van,Toyota,Fog,Evening (18:00-22:00),Accident Nearby,50,4,0.4356
Colombo,Motorcycle,Honda,Clear,Afternoon (14:00-18:00),None,70,85,0.9048
Jaffna,Car,Suzuki,Storm,Evening (18:00-22:00),None,60,17,0.4929
Anuradhapura,Bus,Toyota,Clear,Afternoon (14:00-18:00),None,70,14,0.3441
Colombo,Motorcycle,Suzuki,Fog,Evening (18:00-22:00),None,60,88,0.9522
Kandy,Car,Toyota,Storm,Morning (06:00-10:00),None,30,52,0.7034
Kandy,Three-Wheeler,TVS,Light Rain,Midday (10:00-14:00),Traffic Jam,30,31,0.418
Colombo,Bus,Toyota,Clear,Afternoon (14:00-18:00),None,90,96,0.9305
Kandy,Motorcycle,Honda,Windy,Midday (10:00-14:00),Flood Alert,50,46,0.8101
Jaffna,Motorcycle,Bajaj,Clear,Evening (18:00-22:00),None,30,20,0.3135
Jaffna,Motorcycle,Yamaha,Overcast,Night (22:00-00:00),None,50,21,0.4798
Kandy,Bus,Ashok Leyland,Heavy Rain,Midday (10:00-14:00),None,60,30,0.6178
Kandy,Three-Wheeler,Bajaj,Clear,Morning (06:00-10:00),None,60,25,0.4091
Kurunegala,Motorcycle,Bajaj,Clear,Midday (10:00-14:00),None,70,34,0.5991
Kandy,Car,Nissan,Clear,Morning (06:00-10:00),Accident Nearby,40,49,0.64
Colombo,Motorcycle,Yamaha,Overcast,Morning (06:00-10:00),Accident Nearby,30,81,0.8736
Colombo,Bicycle,Local,Heavy Rain,Morning (06:00-10:00),Flood Alert,80,138,0.9923
Colombo,Van,Toyota,Clear,Afternoon (14:00-18:00),Accident Nearby,50,102,0.927
Colombo,Car,Nissan,Clear,Night (22:00-00:00),None,60,129,0.9585
Colombo,Car,Honda,Clear,Midday (10:00-14:00),None,60,101,0.8797
Colombo,Motorcycle,Bajaj,Clear,Afternoon (14:00-18:00),Accident Nearby,50,151,0.9904
Trincomalee,Car,Toyota,Storm,Evening (18:00-22:00),None,60,20,0.5693
Negombo,Van,Mitsubishi,Clear,Morning (06:00-10:00),None,40,25,0.3333
Trincomalee,Three-Wheeler,Bajaj,Heavy Rain,Afternoon (14:00-18:00),None,60,17,0.508
Kandy,Bus,Ashok Leyland,Light Rain,Morning (06:00-10:00),Accident Nearby,90,53,0.8222
Colombo,Truck,Isuzu,Overcast,Night (22:00-00:00),None,90,134,0.9852
Trincomalee,Bus,Ashok Leyland,Overcast,Evening (18:00-22:00),None,90,7,0.4142
Colombo,Car,Honda,Overcast,Afternoon (14:00-18:00),None,100,117,0.9694
Trincomalee,Car,Hyundai,Clear,Early Morning (00:00-06:00),None,60,17,0.3664
Colombo,Car,Hyundai,Windy,Morning (06:00-10:00),None,70,56,0.7198
Trincomalee,Three-Wheeler,TVS,Clear,Morning (06:00-10:00),None,40,6,0.2408
Colombo,Car,Hyundai,Storm,Midday (10:00-14:00),Police Checkpoint,50,49,0.684
Colombo,Motorcycle,Bajaj,Storm,Evening (18:00-22:00),None,70,93,0.9615
Negombo,Motorcycle,Honda,Clear,Afternoon (14:00-18:00),None,50,33,0.5285
Kurunegala,Bus,Isuzu,Clear,Evening (18:00-22:00),None,80,36,0.5812
Anuradhapura,Car,Nissan,Light Rain,Night (22:00-00:00),Police Checkpoint,40,14,0.2787
Matara,Van,Nissan,Clear,Morning (06:00-10:00),None,50,27,0.3911
Kurunegala,Truck,Hino,Light Rain,Evening (18:00-22:00),None,30,12,0.326
Kandy,Car,Hyundai,Clear,Morning (06:00-10:00),None,50,23,0.3309
Anuradhapura,Truck,Mitsubishi,Overcast,Midday (10:00-14:00),None,30,13,0.2378
Negombo,Three-Wheeler,Bajaj,Clear,Morning (06:00-10:00),Flood Alert,50,30,0.6397
Galle,Van,Toyota,Clear,Evening (18:00-22:00),None,30,24,0.3307
Trincomalee,Truck,Mitsubishi,Overcast,Afternoon (14:00-18:00),None,30,2,0.1828
Trincomalee,Bus,Toyota,Clear,Morning (06:00-10:00),None,40,12,0.2476
Kurunegala,Car,Mitsubishi,Overcast,Afternoon (14:00-18:00),None,30,13,0.2138
Galle,Car,Suzuki,Clear,Midday (10:00-14:00),None,50,30,0.4051
Kurunegala,Car,Nissan,Clear,Morning (06:00-10:00),None,100,26,0.5846
Jaffna,Bus,Toyota,Overcast,Evening (18:00-22:00),None,70,11,0.3426
Galle,Motorcycle,Suzuki,Clear,Midday (10:00-14:00),None,60,21,0.4522
Kandy,Motorcycle,Yamaha,Clear,Afternoon (14:00-18:00),None,70,31,0.5812
Batticaloa,Motorcycle,Bajaj,Overcast,Evening (18:00-22:00),Accident Nearby,50,10,0.4354
Negombo,Three-Wheeler,TVS,Overcast,Morning (06:00-10:00),None,50,35,0.4807
Batticaloa,Bus,Isuzu,Windy,Evening (18:00-22:00),None,70,6,0.3296
Colombo,Car,Nissan,Windy,Morning (06:00-10:00),None,40,112,0.9064
Colombo,Bus,Isuzu,Clear,Night (22:00-00:00),None,80,86,0.8877
Kandy,Van,Toyota,Clear,Afternoon (14:00-18:00),None,80,35,0.6307
Negombo,Van,Toyota,Heavy Rain,Afternoon (14:00-18:00),None,50,26,0.5024
Jaffna,Bus,Isuzu,Overcast,Night (22:00-00:00),None,30,11,0.2175
Anuradhapura,Three-Wheeler,TVS,Fog,Morning (06:00-10:00),None,60,10,0.4878
Jaffna,Bus,Toyota,Clear,Afternoon (14:00-18:00),None,30,10,0.2016
Trincomalee,Motorcycle,Bajaj,Clear,Afternoon (14:00-18:00),None,50,21,0.4353
Galle,Three-Wheeler,TVS,Clear,Afternoon (14:00-18:00),None,30,25,0.3411
Batticaloa,Bus,Isuzu,Clear,Evening (18:00-22:00),None,50,7,0.2435
Kurunegala,Motorcycle,Bajaj,Windy,Midday (10:00-14:00),None,60,25,0.5171
Galle,Bus,Ashok Leyland,Clear,Evening (18:00-22:00),None,80,24,0.5001
Negombo,Car,Nissan,Clear,Evening (18:00-22:00),Flood Alert,50,25,0.5305
Jaffna,Van,Nissan,Clear,Evening (18:00-22:00),None,70,21,0.4066
Colombo,Bus,Toyota,Overcast,Midday (10:00-14:00),Police Checkpoint,60,118,0.9408
Negombo,Motorcycle,Honda,Light Rain,Afternoon (14:00-18:00),None,50,22,0.5291
Colombo,Car,Nissan,Fog,Afternoon (14:00-18:00),None,50,85,0.8852
Jaffna,Bus,Isuzu,Clear,Night (22:00-00:00),None,60,15,0.3495
Colombo,Motorcycle,Honda,Light Rain,Evening (18:00-22:00),None,80,42,0.8185
Batticaloa,Motorcycle,Bajaj,Overcast,Afternoon (14:00-18:00),Accident Nearby,50,4,0.3902
Colombo,Car,Mitsubishi,Storm,Evening (18:00-22:00),None,60,134,0.9784
Kandy,Car,Suzuki,Clear,Night (22:00-00:00),None,80,65,0.7883
Kandy,Car,Mitsubishi,Clear,Morning (06:00-10:00),Accident Nearby,80,41,0.7223
Anuradhapura,Three-Wheeler,TVS,Light Rain,Afternoon (14:00-18:00),None,70,17,0.4778
Trincomalee,Motorcycle,Suzuki,Clear,Evening (18:00-22:00),None,100,13,0.6207
Batticaloa,Motorcycle,Bajaj,Light Rain,Afternoon (14:00-18:00),None,90,24,0.6518
Galle,Motorcycle,Bajaj,Fog,Evening (18:00-22:00),None,30,33,0.6238
Colombo,Motorcycle,Bajaj,Windy,Evening (18:00-22:00),None,40,96,0.8998
Kandy,Three-Wheeler,TVS,Heavy Rain,Midday (10:00-14:00),None,50,33,0.6483
Batticaloa,Car,Mitsubishi,Overcast,Night (22:00-00:00),None,80,3,0.3816
Negombo,Three-Wheeler,TVS,Overcast,Midday (10:00-14:00),Road Work,40,29,0.4643
Trincomalee,Motorcycle,Suzuki,Clear,Evening (18:00-22:00),None,30,8,0.2467
Galle,Truck,Mitsubishi,Light Rain,Early Morning (00:00-06:00),None,80,14,0.5504
Colombo,Three-Wheeler,TVS,Heavy Rain,Evening (18:00-22:00),None,50,83,0.8854
Jaffna,Motorcycle,Suzuki,Clear,Early Morning (00:00-06:00),None,50,10,0.344
Colombo,Motorcycle,Bajaj,Clear,Early Morning (00:00-06:00),None,40,142,0.9744
Trincomalee,Motorcycle,Yamaha,Clear,Afternoon (14:00-18:00),None,80,16,0.4616
Kandy,Motorcycle,Honda,Clear,Afternoon (14:00-18:00),None,100,44,0.796
Negombo,Car,Nissan,Windy,Night (22:00-00:00),None,40,40,0.4618
Kurunegala,Bus,Isuzu,Clear,Afternoon (14:00-18:00),None,70,24,0.4172
Anuradhapura,Motorcycle,Honda,Heavy Rain,Afternoon (14:00-18:00),None,30,9,0.4247
Colombo,Three-Wheeler,Bajaj,Light Rain,Midday (10:00-14:00),None,60,138,0.9758
Jaffna,Bus,Isuzu,Light Rain,Early Morning (00:00-06:00),None,30,20,0.3256
Negombo,Car,Mitsubishi,Clear,Evening (18:00-22:00),None,70,18,0.375
Colombo,Bus,Ashok Leyland,Overcast,Afternoon (14:00-18:00),Accident Nearby,80,95,0.9397
Trincomalee,Motorcycle,Suzuki,Clear,Early Morning (00:00-06:00),None,40,8,0.3134
Trincomalee,Motorcycle,Yamaha,Clear,Morning (06:00-10:00),None,60,5,0.3552
Negombo,Van,Toyota,Light Rain,Morning (06:00-10:00),None,40,35,0.5024
Trincomalee,Motorcycle,Suzuki,Clear,Evening (18:00-22:00),Road Work,80,21,0.6595
Galle,Car,Suzuki,Light Rain,Morning (06:00-10:00),Accident Nearby,30,14,0.339
Batticaloa,Car,Nissan,Clear,Evening (18:00-22:00),Police Checkpoint,50,13,0.2474
Anuradhapura,Motorcycle,Honda,Clear,Midday (10:00-14:00),Police Checkpoint,50,10,0.3057
Galle,Three-Wheeler,TVS,Light Rain,Evening (18:00-22:00),None,70,21,0.4936
Colombo,Van,Nissan,Clear,Night (22:00-00:00),None,60,85,0.8863
Jaffna,Car,Hyundai,Light Rain,Evening (18:00-22:00),Road Work,70,12,0.5099
Trincomalee,Car,Suzuki,Clear,Midday (10:00-14:00),None,50,12,0.2342
Kandy,Car,Mitsubishi,Overcast,Evening (18:00-22:00),None,40,34,0.3726
Trincomalee,Three-Wheeler,Bajaj,Clear,Evening (18:00-22:00),None,70,13,0.3993
Kurunegala,Bus,Isuzu,Windy,Afternoon (14:00-18:00),None,90,23,0.5694
Negombo,Car,Suzuki,Fog,Morning (06:00-10:00),None,50,25,0.5278
Trincomalee,Bus,Ashok Leyland,Overcast,Midday (10:00-14:00),Accident Nearby,30,8,0.261
Jaffna,Car,Toyota,Fog,Midday (10:00-14:00),None,60,13,0.4495
Kurunegala,Bus,Toyota,Clear,Afternoon (14:00-18:00),Accident Nearby,80,30,0.6313
Trincomalee,Car,Honda,Overcast,Afternoon (14:00-18:00),None,50,14,0.2984
Batticaloa,Three-Wheeler,TVS,Clear,Evening (18:00-22:00),None,70,6,0.2752
Galle,Motorcycle,Yamaha,Heavy Rain,Morning (06:00-10:00),None,80,25,0.7094
Trincomalee,Motorcycle,Honda,Light Rain,Early Morning (00:00-06:00),None,40,16,0.3914
Kurunegala,Car,Toyota,Clear,Morning (06:00-10:00),None,80,10,0.3648
Kandy,Three-Wheeler,Bajaj,Light Rain,Morning (06:00-10:00),None,90,51,0.8564
Batticaloa,Car,Suzuki,Overcast,Afternoon (14:00-18:00),None,90,8,0.4164
Colombo,Car,Honda,Windy,Evening (18:00-22:00),None,60,114,0.9387
Trincomalee,Bus,Isuzu,Clear,Evening (18:00-22:00),None,70,8,0.3309
Matara,Motorcycle,Suzuki,Clear,Afternoon (14:00-18:00),None,50,6,0.3281
Galle,Motorcycle,Honda,Overcast,Morning (06:00-10:00),None,70,12,0.4777
Anuradhapura,Motorcycle,Honda,Light Rain,Night (22:00-00:00),None,40,14,0.4173
Matara,Motorcycle,Honda,Windy,Morning (06:00-10:00),None,100,19,0.7206
Colombo,Car,Mitsubishi,Clear,Morning (06:00-10:00),None,60,77,0.7693
Matara,Car,Suzuki,Light Rain,Evening (18:00-22:00),None,80,21,0.5304
Jaffna,Bus,Ashok Leyland,Clear,Morning (06:00-10:00),None,40,7,0.1864
Anuradhapura,Bus,Toyota,Light Rain,Morning (06:00-10:00),None,80,13,0.4656
Colombo,Car,Hyundai,Heavy Rain,Morning (06:00-10:00),Road Work,70,69,0.8778
Batticaloa,Car,Honda,Clear,Afternoon (14:00-18:00),Accident Nearby,70,8,0.3859
Kurunegala,Bus,Toyota,Clear,Night (22:00-00:00),Traffic Jam,50,24,0.365
Negombo,Bus,Toyota,Clear,Evening (18:00-22:00),Road Work,60,19,0.4506
Kandy,Car,Mitsubishi,Light Rain,Evening (18:00-22:00),None,60,40,0.616
Anuradhapura,Truck,Mitsubishi,Clear,Night (22:00-00:00),None,90,19,0.5049
Anuradhapura,Bus,Ashok Leyland,Clear,Afternoon (14:00-18:00),None,60,10,0.2866
Kandy,Motorcycle,Bajaj,Clear,Night (22:00-00:00),None,80,55,0.7868
Kurunegala,Three-Wheeler,TVS,Overcast,Afternoon (14:00-18:00),None,80,14,0.4202
Kandy,Motorcycle,Bajaj,Overcast,Evening (18:00-22:00),None,60,51,0.7266
Galle,Motorcycle,Bajaj,Light Rain,Midday (10:00-14:00),None,90,35,0.7542
Matara,Car,Honda,Heavy Rain,Night (22:00-00:00),None,70,2,0.4537
Jaffna,Bicycle,Giant,Windy,Afternoon (14:00-18:00),None,90,12,0.4514
Trincomalee,Motorcycle,Honda,Clear,Afternoon (14:00-18:00),Accident Nearby,60,15,0.4837
Negombo,Car,Hyundai,Windy,Morning (06:00-10:00),None,90,25,0.5532
Colombo,Van,Toyota,Light Rain,Morning (06:00-10:00),None,40,109,0.9281
Kurunegala,Three-Wheeler,Bajaj,Overcast,Evening (18:00-22:00),Traffic Jam,80,19,0.5862
Kurunegala,Van,Nissan,Clear,Evening (18:00-22:00),None,30,24,0.2571
Colombo,Motorcycle,Yamaha,Overcast,Morning (06:00-10:00),None,50,96,0.8931
Kurunegala,Motorcycle,Yamaha,Clear,Morning (06:00-10:00),None,70,33,0.6688
Colombo,Car,Toyota,Light Rain,Morning (06:00-10:00),Police Checkpoint,30,106,0.8879
Anuradhapura,Motorcycle,Yamaha,Clear,Night (22:00-00:00),None,80,15,0.4846
Colombo,Bus,Ashok Leyland,Clear,Midday (10:00-14:00),Accident Nearby,60,89,0.901
Trincomalee,Bus,Isuzu,Windy,Night (22:00-00:00),Road Work,70,10,0.3581
Trincomalee,Bus,Isuzu,Clear,Early Morning (00:00-06:00),None,50,10,0.2517
Negombo,Bus,Ashok Leyland,Light Rain,Night (22:00-00:00),None,50,30,0.4734
Kurunegala,Car,Nissan,Clear,Afternoon (14:00-18:00),None,30,20,0.2719
Kurunegala,Car,Toyota,Fog,Night (22:00-00:00),Traffic Jam,60,26,0.557
Negombo,Motorcycle,Yamaha,Clear,Morning (06:00-10:00),None,90,45,0.7748
Galle,Car,Nissan,Clear,Afternoon (14:00-18:00),Road Work,50,31,0.4518
Jaffna,Car,Hyundai,Light Rain,Morning (06:00-10:00),None,80,15,0.4734
Trincomalee,Bus,Toyota,Clear,Morning (06:00-10:00),None,50,18,0.2834
Batticaloa,Bus,Isuzu,Clear,Afternoon (14:00-18:00),None,80,9,0.3411
Negombo,Bus,Isuzu,Light Rain,Evening (18:00-22:00),Flood Alert,40,9,0.3671
Negombo,Motorcycle,Yamaha,Light Rain,Evening (18:00-22:00),Flood Alert,70,18,0.7152
Batticaloa,Car,Honda,Clear,Early Morning (00:00-06:00),None,80,2,0.3225
Negombo,Car,Nissan,Clear,Morning (06:00-10:00),Accident Nearby,70,24,0.5241
Kandy,Car,Honda,Clear,Midday (10:00-14:00),None,40,45,0.4807
Trincomalee,Truck,Hino,Clear,Afternoon (14:00-18:00),None,40,20,0.304
Trincomalee,Car,Nissan,Light Rain,Afternoon (14:00-18:00),None,40,14,0.2906
Negombo,Bus,Toyota,Clear,Afternoon (14:00-18:00),None,80,25,0.481
Galle,Van,Toyota,Clear,Afternoon (14:00-18:00),None,90,31,0.67
Kurunegala,Motorcycle,Honda,Overcast,Afternoon (14:00-18:00),None,50,6,0.3061
Matara,Bicycle,Giant,Overcast,Midday (10:00-14:00),Road Work,60,18,0.4568
Galle,Three-Wheeler,TVS,Heavy Rain,Evening (18:00-22:00),None,80,30,0.7187
Jaffna,Motorcycle,Honda,Clear,Morning (06:00-10:00),None,70,8,0.418
Colombo,Motorcycle,Honda,Light Rain,Afternoon (14:00-18:00),None,40,128,0.9746
Colombo,Three-Wheeler,Bajaj,Clear,Morning (06:00-10:00),None,40,108,0.9061
Negombo,Bicycle,Giant,Clear,Morning (06:00-10:00),None,90,23,0.4976
Matara,Car,Toyota,Fog,Evening (18:00-22:00),Accident Nearby,90,21,0.7291
Kandy,Car,Suzuki,Fog,Morning (06:00-10:00),Flood Alert,60,73,0.9297
Anuradhapura,Three-Wheeler,Bajaj,Light Rain,Afternoon (14:00-18:00),None,70,15,0.5007
Trincomalee,Car,Toyota,Clear,Midday (10:00-14:00),None,40,13,0.2252
Batticaloa,Car,Suzuki,Heavy Rain,Afternoon (14:00-18:00),None,90,8,0.4775
Matara,Three-Wheeler,Bajaj,Clear,Afternoon (14:00-18:00),Road Work,60,12,0.4024
Colombo,Van,Isuzu,Overcast,Midday (10:00-14:00),None,60,120,0.9465
Kandy,Three-Wheeler,TVS,Clear,Evening (18:00-22:00),Road Work,80,34,0.6694
Matara,Motorcycle,Honda,Overcast,Morning (06:00-10:00),Flood Alert,50,17,0.6069
Trincomalee,Motorcycle,Bajaj,Clear,Evening (18:00-22:00),None,60,10,0.372
Negombo,Motorcycle,Bajaj,Light Rain,Midday (10:00-14:00),None,40,31,0.5402
Kurunegala,Motorcycle,Suzuki,Overcast,Afternoon (14:00-18:00),Traffic Jam,50,26,0.524
Colombo,Car,Honda,Overcast,Midday (10:00-14:00),None,50,125,0.9516
Kandy,Motorcycle,Suzuki,Light Rain,Evening (18:00-22:00),None,70,38,0.6563
Jaffna,Car,Nissan,Clear,Afternoon (14:00-18:00),Accident Nearby,80,15,0.48
Matara,Car,Toyota,Clear,Night (22:00-00:00),None,30,11,0.202
Colombo,Van,Isuzu,Clear,Morning (06:00-10:00),None,60,88,0.8749
Kurunegala,Van,Isuzu,Light Rain,Afternoon (14:00-18:00),None,60,27,0.4888
Trincomalee,Three-Wheeler,TVS,Clear,Morning (06:00-10:00),None,80,16,0.3968
Kandy,Bus,Isuzu,Overcast,Afternoon (14:00-18:00),None,70,33,0.548
Galle,Car,Nissan,Clear,Morning (06:00-10:00),None,70,31,0.4711
Galle,Motorcycle,Yamaha,Light Rain,Morning (06:00-10:00),None,50,35,0.5817
